,rank,name,channel_name,office,official,dimention,voice,fans,video_count,duration,like_count,dislike_count,comment_count,islive,tag_count,view_count_per_video,video_publish_delta,Youtube_days,follow,follower,favourites,tweets_count,mentioned,retweeted,text_len,mention_myself,mention_vtuber,delta_tweet_sec,TW_days,view_count
1544,1545,蘭らんすの武器庫,,,個人,二次元,男,167.0,8.0,513.375,9.625,0.0,4.75,0.0,5.375,127.5,14.420891199999998,112.4132053,600.0,763.0,5551.0,1550.0,0.51,0.0,81.145,0.0,0.34,10437.32663,874.5774607000002,1019.0
1545,1546,Shirohoshi Momo,,,個人,二次元,女,167.0,3.0,330.6666667,107.6666667,0.3333333333,7.0,0.0,13.33333333,213.3333333,10.02601273,60.75660804,17.0,281.0,141.0,131.0,0.6793893129999999,0.0,66.96946565,0.0,0.02290076336,38131.8,61.74493752,640.0
1546,1547,木の子チャンネル,,,個人,三次元,女,166.0,65.0,289.46,9.14,0.08,6.08,0.0,10.48,119.06,8.68142739,1995.856191,33.0,130.0,969.0,1020.0,0.51,0.0,65.615,0.005,0.265,53638.8191,1644.857391,11705.0
1547,1548,ねねちゅっちゅVtuber,,,個人,二次元,女,,,,,,,,,,,,,,,,,,,,,,,
1548,1549,TAKU CHANNEL,,,個人,三次元,男,169.0,63.0,7963.28,3.64,0.16,0.28,0.98,15.32,62.52,1.168838577,115.210196,2036.0,2146.0,741.0,635.0,0.55,0.0,62.075,0.0,0.095,24070.54774,111.9407477,5019.0
1549,1550,クロワサ,,,個人,三次元,男,173.0,9.0,1924.5,12.25,0.0,2.25,0.375,7.5,102.75,7.831028439,1216.237488,526.0,1639.0,14798.0,3935.0,0.865,0.0,34.63,0.005,0.19,955.1105528,1190.240806,1437.0
1550,1551,漆原みんと,,,,,,169.0,62.0,7951.12,4.32,0.06,0.52,0.88,1.76,60.7,1.474832058,1035.105184,842.0,669.0,5034.0,6328.0,0.67,0.0,33.035,0.015,0.41,2051.306533,133.84504170000002,4192.0
1551,1552,レオン's Studio VBS,,,個人,二次元,男,165.0,17.0,168.8823529,4.058823529,1.058823529,0.8235294118,0.0,1.764705882,72.11764706,14.21011574,1182.177256,672.0,535.0,4328.0,2100.0,0.7236180904999999,0.0,81.61306533,0.01507537688,0.4773869347,17433.39394,131.5808634,1229.0
1552,1553,J CH,,,,,,167.0,7.0,37.0,0.5,0.0,0.0,1.0,1.0,31.66666667,0.202599537,1165.3398949999996,4998.0,3272.0,4678.0,9623.0,0.525,0.0,52.66,0.005,0.085,2402.331658,420.79629169999987,10095.0
1553,1554,チャンネル無々,,,個人,二次元,男,169.0,70.0,11849.77551,3.326530612,0.02040816327,0.2040816327,0.9795918367,4.795918367,44.28571429,1.57088397,95.31107563,589.0,582.0,1024.0,2704.0,0.5583756345,0.0,56.96954315,0.01015228426,0.3756345178,4463.22449,93.52357178,2505.0
1554,1555,アフロ・レイChannel,,,,,,172.0,22.0,4319.636364,8.181818182,0.5909090909,3.227272727,0.6363636364,1.0,81.22727273,4.866867835,106.4918164,630.0,592.0,1419.0,1236.0,0.8,0.0,77.985,0.01,0.375,4827.557789,106.3823218,1843.0
1555,1556,HONA Virtual Devil,,,,,,167.0,2.0,227.0,51.0,0.0,9.5,0.0,13.0,435.5,25.97170139,83.10905017,1374.0,1371.0,253.0,203.0,0.685,0.0,74.135,0.005,0.4,34196.9799,83.08026159999999,873.0
1556,1557,公式モチトーーーク,,,,,,165.0,4.0,3955.5,23.0,0.0,1.25,0.5,4.5,188.75,13.2151659,107.0446636,640.0,689.0,116.0,169.0,0.6804733728,0.0,84.79289941,0.07100591716,0.4378698225,55050.5119,119.3401459,758.0
1557,1558,きんぎょゆめY,,,個人,三次元,機械,164.0,14.0,70.78571429,50.78571429,5.357142857,10.64285714,0.0,1.0,7221.428570999998,42.92252048,650.5566659,,,,,,,,,,,,101068.0
1558,1559,イヤテキトウヤ,,,個人,三次元,男,165.0,67.0,6502.3265310000015,3.857142857,0.0612244898,0.04081632653,1.0,1.0,47.46938776,2.064386092,944.4188534,587.0,599.0,5240.0,4294.0,0.495,0.0,44.475,0.005,0.225,13678.15578,169.333375,4038.0
1559,1560,バーチャルYouTuberツーコ2106,,,,,,165.0,16.0,602.4375,3.5,0.5625,2.5,0.0,30.0,138.25,11.52077469,418.8749182,408.0,328.0,30.0,51.0,0.3529411765,0.0,87.82352941,0.0,0.03921568627,492950.7,326.2596019,2217.0
